z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
10.0,6.780537275872059,0.0,0.0,0.0,0.02480389140546297,0.02480389140546297,0.0030749723891920024,0.0
30.0,7.469015484873663,0.0,0.0,0.0,0.03263720145194566,0.03263720145194566,0.00614253690056267,0.0
50.0,7.789139621650711,0.0,0.0,0.0,0.037068120809053605,0.037068120809053605,0.009195303502517193,0.0
70.0,8.0,0.0,0.0,0.0,0.0402968012389566,0.0402968012389566,0.012225917812920687,0.0
90.0,8.157493693875267,0.0,0.0,0.0,0.042875278627029355,0.042875278627029355,0.01522707881644893,0.0
110.0,8.283249979724191,0.0,0.0,0.0,0.04503567680292619,0.04503567680292619,0.018191556453373763,0.0
130.0,8.387939412203353,0.0,0.0,0.0,0.046899483093168035,0.046899483093168035,0.021112209037410266,0.0
150.0,8.477617830652315,0.0,0.0,0.0,0.04853887548639873,0.04853887548639873,0.023982000460664534,0.0
170.0,8.556055053121813,0.0,0.0,0.0,0.05000048018235195,0.05000048018235195,0.02679401714423391,0.0
190.0,8.62575791995265,0.0,0.0,0.0,0.051316267222660666,0.051316267222660666,0.029541484693624102,0.0
210.0,8.688478209001604,0.0,0.0,0.0,0.05250915781049074,0.05250915781049074,0.032217784218858896,0.0
230.0,8.745488391369673,0.0,0.0,0.0,0.05359616418854653,0.05359616418854653,0.034816468279965845,0.0
250.0,8.797741967429364,0.0,0.0,0.0,0.05459026545071897,0.05459026545071897,0.0373312764194239,0.0
270.0,8.84597190287687,0.0,0.0,0.0,0.05550158723060558,0.05550158723060558,0.039756150244153944,0.0
290.0,8.890753797314972,0.0,0.0,0.0,0.05633817523959648,0.05633817523959648,0.04208524802071832,0.0
310.0,8.932547939383387,0.0,0.0,0.0,0.05710652035512724,0.05710652035512724,0.04431295874856842,0.0
330.0,8.971728188725795,0.0,0.0,0.0,0.057811925596205925,0.057811925596205925,0.04643391567743645,0.0
350.0,9.008602345778652,0.0,0.0,0.0,0.058458769037090415,0.058458769037090415,0.04844300923630687,0.0
370.0,9.043426853015808,0.0,0.0,0.0,0.05905069621902322,0.05905069621902322,0.050335399342820546,0.0
390.0,9.076417621204957,0.0,0.0,0.0,0.05959076357222818,0.05959076357222818,0.05210652706345709,0.0
410.0,9.107758145194909,0.0,0.0,0.0,0.06008154702516277,0.06008154702516277,0.053752125596405034,0.0
430.0,9.137605684863447,0.0,0.0,0.0,0.06052522537334359,0.06052522537334359,0.05526823055066109,0.0
450.0,9.166096039653919,0.0,0.0,0.0,0.060923645010216416,0.060923645010216416,0.05665118949659534,0.0
470.0,9.193347284060442,0.0,0.0,0.0,0.06127837066020144,0.06127837066020144,0.05789767076497413,0.0
490.0,9.219462724127942,0.0,0.0,0.0,0.061590725428719156,0.061590725428719156,0.059004671473243085,0.0
510.0,9.244533262123417,0.0,0.0,0.0,0.06186182257072543,0.06186182257072543,0.05996952475973417,0.0
530.0,9.268639306088554,0.0,0.0,0.0,0.062092590737975795,0.062092590737975795,0.060789906208369056,0.0
550.0,9.291852325502843,0.0,0.0,0.0,0.062283794006648185,0.062283794006648185,0.061463839448381054,0.0
570.0,9.314236128954253,0.0,0.0,0.0,0.06243604765298146,0.06243604765298146,0.0619897009155654,0.0
590.0,9.335847921377926,0.0,0.0,0.0,0.06254983039662723,0.06254983039662723,0.06236622376358761,0.0
610.0,9.356739184981196,0.0,0.0,0.0,0.06262549364326829,0.06262549364326829,0.06259250091592732,0.0
630.0,9.376956418003209,0.0,0.0,0.0,0.06266326811155115,0.06266326811155115,0.06266798725110496,0.0
650.0,9.396541757982007,0.0,0.0,0.0,0.06266326811155115,0.06266326811155115,0.06259250091592732,0.0
670.0,9.415533510540142,0.0,0.0,0.0,0.06262549364326829,0.06262549364326829,0.062366223763587615,0.0
690.0,9.433966600371276,0.0,0.0,0.0,0.06254983039662723,0.06254983039662723,0.0619897009155654,0.0
710.0,9.451872957771727,0.0,0.0,0.0,0.06243604765298146,0.06243604765298146,0.061463839448381054,0.0
730.0,9.469281851464762,0.0,0.0,0.0,0.062283794006648185,0.062283794006648185,0.06078990620836906,0.0
750.0,9.486220176430967,0.0,0.0,0.0,0.062092590737975795,0.062092590737975795,0.05996952475973417,0.0
770.0,9.502712703852133,0.0,0.0,0.0,0.06186182257072543,0.06186182257072543,0.05900467147324309,0.0
790.0,9.51878229899977,0.0,0.0,0.0,0.061590725428719156,0.061590725428719156,0.05789767076497413,0.0
