z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
5.0,6.34615588912736,0.0,0.0,0.0,0.020857896018586005,0.020857896018586005,0.0015379493962003209,0.0
15.0,7.034634098128962,0.0,0.0,0.0,0.027449156879846427,0.027449156879846427,0.0030749723891920024,0.0
25.0,7.3547582349060105,0.0,0.0,0.0,0.031185131998257756,0.031185131998257756,0.004610143133797058,0.0
35.0,7.5656186132553005,0.0,0.0,0.0,0.03391674508318304,0.03391674508318304,0.00614253690056267,0.0
45.0,7.723112307130567,0.0,0.0,0.0,0.03610879722078845,0.03610879722078845,0.007671230632783631,0.0
55.0,7.848868592979491,0.0,0.0,0.0,0.037956962341797955,0.037956962341797955,0.009195303502517193,0.0
65.0,7.953558025458654,0.0,0.0,0.0,0.03956381086070229,0.03956381086070229,0.010713837465255381,0.0
75.0,8.043236443907615,0.0,0.0,0.0,0.040990402394593804,0.040990402394593804,0.012225917812920687,0.0
85.0,8.121673666377113,0.0,0.0,0.0,0.04227627702093924,0.04227627702093924,0.013730633724852004,0.0
95.0,8.191376533207949,0.0,0.0,0.0,0.043448626267867003,0.043448626267867003,0.01522707881644893,0.0
105.0,8.254096822256903,0.0,0.0,0.0,0.04452701451190688,0.04452701451190688,0.016714351685143986,0.0
115.0,8.311107004624972,0.0,0.0,0.0,0.04552602388908997,0.04552602388908997,0.018191556453373763,0.0
125.0,8.363360580684663,0.0,0.0,0.0,0.04645683521711253,0.04645683521711253,0.019657803308222147,0.0
135.0,8.41159051613217,0.0,0.0,0.0,0.047328222859231155,0.047328222859231155,0.021112209037410266,0.0
145.0,8.456372410570273,0.0,0.0,0.0,0.04814720758818727,0.04814720758818727,0.02255389756131059,0.0
155.0,8.498166552638686,0.0,0.0,0.0,0.048919500207387105,0.048919500207387105,0.023982000460664534,0.0
165.0,8.537346801981094,0.0,0.0,0.0,0.049649811996152315,0.049649811996152315,0.02539565749968573,0.0
175.0,8.574220959033951,0.0,0.0,0.0,0.0503420775049593,0.0503420775049593,0.02679401714423391,0.0
185.0,8.609045466271107,0.0,0.0,0.0,0.05099961797794397,0.05099961797794397,0.028176237074747236,0.0
195.0,8.642036234460258,0.0,0.0,0.0,0.05162526353755535,0.05162526353755535,0.029541484693624102,0.0
205.0,8.67337675845021,0.0,0.0,0.0,0.052221446090730705,0.052221446090730705,0.03088893762674879,0.0
215.0,8.703224298118746,0.0,0.0,0.0,0.052790271039421445,0.052790271039421445,0.032217784218858896,0.0
225.0,8.731714652909218,0.0,0.0,0.0,0.053333573378565445,0.053333573378565445,0.033527224022456115,0.0
235.0,8.758965897315743,0.0,0.0,0.0,0.05385296211369498,0.05385296211369498,0.034816468279965845,0.0
245.0,8.785081337383243,0.0,0.0,0.0,0.05434985581647864,0.05434985581647864,0.036084740398855335,0.0
255.0,8.810151875378716,0.0,0.0,0.0,0.05482551137031858,0.05482551137031858,0.0373312764194239,0.0
265.0,8.834257919343855,0.0,0.0,0.0,0.05528104742184545,0.05528104742184545,0.03855532547498375,0.0
275.0,8.857470938758143,0.0,0.0,0.0,0.055717463672782824,0.055717463672782824,0.039756150244153944,0.0
285.0,8.879854742209552,0.0,0.0,0.0,0.05613565687148434,0.05613565687148434,0.04093302739499527,0.0
295.0,8.901466534633226,0.0,0.0,0.0,0.05653643416224265,0.05653643416224265,0.04208524802071832,0.0
305.0,8.922357798236495,0.0,0.0,0.0,0.05692052430153663,0.05692052430153663,0.04321211806670248,0.0
315.0,8.942575031258508,0.0,0.0,0.0,0.05728858713888417,0.05728858713888417,0.04431295874856842,0.0
325.0,8.962160371237307,0.0,0.0,0.0,0.057641221675614224,0.057641221675614224,0.045387106961052484,0.0
335.0,8.981152123795441,0.0,0.0,0.0,0.05797897295042784,0.05797897295042784,0.04643391567743645,0.0
345.0,8.999585213626576,0.0,0.0,0.0,0.0583023379509348,0.0583023379509348,0.04745275433929226,0.0
355.0,9.017491571027026,0.0,0.0,0.0,0.0586117707117222,0.0586117707117222,0.04844300923630687,0.0
365.0,9.034900464720062,0.0,0.0,0.0,0.05890768672923414,0.05890768672923414,0.0494040838759583,0.0
375.0,9.051838789686267,0.0,0.0,0.0,0.05919046679983409,0.05919046679983409,0.050335399342820546,0.0
385.0,9.068331317107432,0.0,0.0,0.0,0.059460460368409206,0.059460460368409206,0.051236394647280484,0.0
395.0,9.084400912255072,0.0,0.0,0.0,0.0597179884596558,0.0597179884596558,0.05210652706345709,0.0
