z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
0.0070312500000000002,1.7741748270279465,0,0,0,0.02,0.02,0.02,0
0.021093750000000001,2.2002569972570489,0,0,0,0.02,0.02,0.02,0
0.03515625,2.3610790498573682,0,0,0,0.02,0.02,0.02,0
0.049218750000000006,2.4655171148858304,0,0,0,0.02,0.02,0.02,0
0.063281249999999997,2.5431765505753687,0,0,0,0.02,0.02,0.02,0
0.077343750000000003,2.6050637193684705,0,0,0,0.02,0.02,0.02,0
0.091406249999999994,2.6565291025013895,0,0,0,0.02,0.02,0.02,0
0.10546875,2.700587297499375,0,0,0,0.02,0.02,0.02,0
0.11953125000000001,2.7391071426298605,0,0,0,0.02,0.02,0.02,0
0.13359375000000001,2.7733281287499802,0,0,0,0.02,0.02,0.02,0
0.14765624999999999,2.8041148920096326,0,0,0,0.02,0.02,0.02,0
0.16171875000000002,2.8320947169564086,0,0,0,0.02,0.02,0.02,0
0.17578125,2.857737220443537,0,0,0,0.02,0.02,0.02,0
0.18984375000000001,2.8814031547883423,0,0,0,0.02,0.02,0.02,0
0.20390625000000001,2.9033756695527448,0,0,0,0.02,0.02,0.02,0
0.21796874999999999,2.9238810956751111,0,0,0,0.02,0.02,0.02,0
0.23203125000000002,2.9431032038081151,0,0,0,0.02,0.02,0.02,0
0.24609375,2.9611932516807071,0,0,0,0.02,0.02,0.02,0
0.26015624999999998,2.9782772303513423,0,0,0,0.02,0.02,0.02,0
0.27421875000000001,2.9944611973777233,0,0,0,0.02,0.02,0.02,0
0.28828125000000004,3.0098352728336271,0,0,0,0.02,0.02,0.02,0
0.30234375000000002,3.0244766814147441,0,0,0,0.02,0.02,0.02,0
0.31640625,3.0384521015277199,0,0,0,0.02,0.02,0.02,0
0.33046874999999998,3.0518195026141917,0,0,0,0.02,0.02,0.02,0
0.34453125000000001,3.0646295989503805,0,0,0,0.02,0.02,0.02,0
0.35859375000000004,3.076927012165799,0,0,0,0.02,0.02,0.02,0
0.37265625000000002,3.0887512098319223,0,0,0,0.02,0.02,0.02,0
0.38671875,3.1001372699738687,0,0,0,0.02,0.02,0.02,0
0.40078124999999998,3.1111165088693973,0,0,0,0.02,0.02,0.02,0
0.41484375000000001,3.1217170004651971,0,0,0,0.02,0.02,0.02,0
