z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
0.028125000000000001,2.2002569972570485,0,0,0,0.02,0.02,0.02,0
0.084375000000000006,2.6263391674861509,0,0,0,0.02,0.02,0.02,0
0.140625,2.7871612200864706,0,0,0,0.02,0.02,0.02,0
0.19687500000000002,2.8915992851149341,0,0,0,0.02,0.02,0.02,0
0.25312499999999999,2.9692587208044716,0,0,0,0.02,0.02,0.02,0
0.30937500000000001,3.0311458895975707,0,0,0,0.02,0.02,0.02,0
0.36562499999999998,3.0826112727304924,0,0,0,0.02,0.02,0.02,0
0.421875,3.1266694677284779,0,0,0,0.02,0.02,0.02,0
0.47812500000000002,3.1651893128589617,0,0,0,0.02,0.02,0.02,0
0.53437500000000004,3.1994102989790854,0,0,0,0.02,0.02,0.02,0
0.59062499999999996,3.2301970622387284,0,0,0,0.02,0.02,0.02,0
0.64687500000000009,3.2581768871855186,0,0,0,0.02,0.02,0.02,0
0.703125,3.2838193906726376,0,0,0,0.02,0.02,0.02,0
0.75937500000000002,3.3074853250174439,0,0,0,0.02,0.02,0.02,0
0.81562500000000004,3.3294578397818499,0,0,0,0.02,0.02,0.02,0
0.87187499999999996,3.3499632659042167,0,0,0,0.02,0.02,0.02,0
0.92812500000000009,3.3691853740372153,0,0,0,0.02,0.02,0.02,0
0.984375,3.3872754219098034,0,0,0,0.02,0.02,0.02,0
1.0406249999999999,3.4043594005804469,0,0,0,0.02,0.02,0.02,0
1.096875,3.4205433676068298,0,0,0,0.02,0.02,0.02,0
1.1531250000000002,3.4359174430627317,0,0,0,0.02,0.02,0.02,0
1.2093750000000001,3.4505588516438306,0,0,0,0.02,0.02,0.02,0
1.265625,3.4645342717568162,0,0,0,0.02,0.02,0.02,0
1.3218749999999999,3.4779016728433159,0,0,0,0.02,0.02,0.02,0
1.378125,3.490711769179486,0,0,0,0.02,0.02,0.02,0
1.4343750000000002,3.5030091823948939,0,0,0,0.02,0.02,0.02,0
1.4906250000000001,3.5148333800610088,0,0,0,0.02,0.02,0.02,0
1.546875,3.5262194402029943,0,0,0,0.02,0.02,0.02,0
1.6031249999999999,3.5371986790984922,0,0,0,0.02,0.02,0.02,0
1.659375,3.5477991706942937,0,0,0,0.02,0.02,0.02,0
1.7156250000000002,3.5580461793474014,0,0,0,0.02,0.02,0.02,0
1.7718750000000001,3.5679625226901277,0,0,0,0.02,0.02,0.02,0
1.828125,3.5775688777371997,0,0,0,0.02,0.02,0.02,0
1.8843749999999999,3.5868840405663462,0,0,0,0.02,0.02,0.02,0
1.940625,3.5959251477752319,0,0,0,0.02,0.02,0.02,0
1.996875,3.604707866273472,0,0,0,0.02,0.02,0.02,0
2.0531250000000001,3.6132465566927823,0,0,0,0.02,0.02,0.02,0
2.109375,3.6215544146972256,0,0,0,0.02,0.02,0.02,0
2.1656250000000004,3.6296435936864335,0,0,0,0.02,0.02,0.02,0
2.2218749999999998,3.6375253117563218,0,0,0,0.02,0.02,0.02,0
2.2781250000000002,3.645209945280746,0,0,0,0.02,0.02,0.02,0
2.3343750000000001,3.6527071110738119,0,0,0,0.02,0.02,0.02,0
2.390625,3.6600257387646833,0,0,0,0.02,0.02,0.02,0
2.4468750000000004,3.6671741347520745,0,0,0,0.02,0.02,0.02,0
2.5031249999999998,3.6741600388873157,0,0,0,0.02,0.02,0.02,0
2.5593750000000002,3.6809906748554329,0,0,0,0.02,0.02,0.02,0
2.6156250000000001,3.6876727950783281,0,0,0,0.02,0.02,0.02,0
2.671875,3.694212720837398,0,0,0,0.02,0.02,0.02,0
2.7281250000000004,3.7006163782160106,0,0,0,0.02,0.02,0.02,0
2.7843749999999998,3.706889330372058,0,0,0,0.02,0.02,0.02,0
2.8406250000000002,3.7130368065820871,0,0,0,0.02,0.02,0.02,0
2.8968750000000001,3.7190637284367956,0,0,0,0.02,0.02,0.02,0
2.953125,3.7249747335168863,0,0,0,0.02,0.02,0.02,0
3.0093750000000004,3.7307741968342474,0,0,0,0.02,0.02,0.02,0
3.0656249999999998,3.7364662502875046,0,0,0,0.02,0.02,0.02,0
3.1218750000000002,3.7420548003475615,0,0,0,0.02,0.02,0.02,0
3.1781250000000001,3.7475435441648135,0,0,0,0.02,0.02,0.02,0
3.234375,3.7529359842613239,0,0,0,0.02,0.02,0.02,0
3.2906250000000004,3.7582354419575883,0,0,0,0.02,0.02,0.02,0
3.3468749999999998,3.7634450696600763,0,0,0,0.02,0.02,0.02,0
3.4031250000000002,3.7685678621251513,0,0,0,0.02,0.02,0.02,0
3.4593750000000001,3.7736066667987656,0,0,0,0.02,0.02,0.02,0
3.515625,3.7785641933228167,0,0,0,0.02,0.02,0.02,0
3.5718750000000004,3.7834430222865536,0,0,0,0.02,0.02,0.02,0
